Foresight Sports: mhutch84 - 12/6/2021 3:44 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, YDS, MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
Driver, Standard, 157.9, 17.3, 5.6, 3074, -67, -1.2, 3075, 264.8, 282.8, 24.1, 48.9, 52.8, 95.7, 109.1, 1.45, 6.8, 5.3, --, --, --, --, --, --
Driver, Standard, 155.6, 13.1, 2.7, 3669, -201, -3.1, 3675, 250.6, 267.2, 4.2, 45.9, 41.7, 107.4, 109.6, 1.42, 7.1, 5.5, --, --, --, --, --, --
Driver, Standard, 153.1, 17.0, 1.1, 2474, -26, -0.6, 2474, 268.3, 287.7, 4.0, 45.3, 46.6, 86.9, 108.7, 1.41, 8.2, 4.4, --, --, --, --, --, --
Driver, Standard, 159.0, 16.4, 3.0, 3114, -255, -4.7, 3124, 265.9, 282.9, 1.8, 48.3, 50.8, 91.6, 109.9, 1.45, 7.0, 4.4, --, --, --, --, --, --
Driver, Standard, 158.0, 16.0, 4.1, 3223, -87, -1.5, 3224, 262.5, 280.1, 15.6, 48.1, 49.7, 96.0, 110.3, 1.43, 6.7, 5.5, --, --, --, --, --, --
Driver, Standard, 158.5, 16.0, 3.9, 1123, -1275, -48.6, 1699, 257.1, 283.0, -58.0, 31.9, 28.3, 113.6, 110.2, 1.44, 7.1, 4.6, --, --, --, --, --, --
Driver, Standard, 155.9, 17.6, 3.6, 2573, -98, -2.2, 2575, 271.7, 290.2, 12.2, 46.9, 50.3, 85.3, 108.8, 1.43, 7.8, 4.8, --, --, --, --, --, --
Driver, Standard, 151.5, 13.2, 1.6, 3218, -211, -3.8, 3225, 249.5, 266.5, -1.8, 43.5, 38.2, 107.9, 108.6, 1.39, 7.6, 5.1, --, --, --, --, --, --
Driver, Standard, 158.0, 15.4, 2.8, 2173, -1131, -27.5, 2450, 268.4, 289.5, -53.4, 41.8, 39.2, 104.8, 108.9, 1.45, 7.2, 4.1, --, --, --, --, --, --
Driver, Standard, 155.9, 16.2, 4.9, 3620, 177, 2.8, 3624, 251.7, 268.0, 30.7, 49.1, 49.9, 112.4, 108.9, 1.43, 7.3, 4.7, --, --, --, --, --, --
Driver, Standard, 160.1, 16.6, 2.9, 2920, -416, -8.1, 2949, 271.4, 289.2, -8.3, 47.9, 51.0, 85.8, 111.3, 1.44, 7.1, 4.7, --, --, --, --, --, --
